Offense ID,MCPP,Longitude,Latitude,Crime Against Category,Offense Parent Group,Offense
12605873663,MAGNOLIA,-122.38597372299999,47.64938723,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations
12605598696,ROOSEVELT/RAVENNA,-122.323399063,47.67511789,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories
12605567653,ROOSEVELT/RAVENNA,-122.29955218,47.66638407,PROPERTY,ROBBERY,Robbery
12605174036,MAGNOLIA,-122.384864805,47.64292734,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12605097782,NORTH BEACON HILL,-122.314718681,47.58024753,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12605081469,BALLARD SOUTH,-122.36619534200001,47.66219308,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence
12605077150,DOWNTOWN COMMERCIAL,-122.338449515,47.60878866,PROPERTY,LARCENY-THEFT,Shoplifting
12605030307,NORTH ADMIRAL,-122.386659755,47.5783244,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence
12605029468,PHINNEY RIDGE,-122.355309065,47.68052695,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12604995759,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.36731199299999,47.52102758,PROPERTY,LARCENY-THEFT,Shoplifting
12605015456,SANDPOINT,-122.30489081,47.69756434,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12604963106,NORTHGATE,-122.312077769,47.69761617,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence
12605008517,CAPITOL HILL,-122.316845012,47.61468385,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604928711,CAPITOL HILL,-122.320789514,47.61465549,PROPERTY,LARCENY-THEFT,Shoplifting
12604927228,UNIVERSITY,-122.32072010600001,47.66247336,PROPERTY,FRAUD OFFENSES,Wire Fraud
12604929082,COLUMBIA CITY,0.0,0.0,PROPERTY,LARCENY-THEFT,Theft From Building
12605193820,COLUMBIA CITY,0.0,0.0,PERSON,KIDNAPPING/ABDUCTION,Kidnapping/Abduction
12604909238,NORTH BEACON HILL,-122.315976829,47.5859559,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604898406,GEORGETOWN,-122.339439095,47.56132149,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence
12604889529,CAPITOL HILL,-122.320863694,47.61932364,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery
12604874045,FIRST HILL,-122.316778894,47.61156267,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604760012,GEORGETOWN,-122.32290903200001,47.54294056,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12604768348,UNIVERSITY,-122.313115709,47.66218058,PROPERTY,LARCENY-THEFT,Shoplifting
12604748428,QUEEN ANNE,-122.361938917,47.62394954,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604733588,SODO,-122.33200668399999,47.57140627,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12604714462,NORTHGATE,-122.33452432,47.70233163,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations
12604680236,DOWNTOWN COMMERCIAL,-122.330510332,47.60188591,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations
12604667448,QUEEN ANNE,-122.353751129,47.61859552,PROPERTY,LARCENY-THEFT,All Other Larceny
12604662310,QUEEN ANNE,-122.36180477399999,47.630894399999995,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604701795,CENTRAL AREA/SQUIRE PARK,-122.308863594,47.61221899,SOCIETY,PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material
12604629255,CENTRAL AREA/SQUIRE PARK,-122.308863594,47.61221899,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail
12604504697,NORTHGATE,-122.34483426799999,47.71354798,PROPERTY,LARCENY-THEFT,Shoplifting
12604473206,MID BEACON HILL,-122.314783435,47.55638651,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604458633,NORTH BEACON HILL,-122.30489459799999,47.57999734,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12604336720,UNIVERSITY,-122.313115709,47.66218058,PROPERTY,LARCENY-THEFT,Shoplifting
12604443489,CENTRAL AREA/SQUIRE PARK,-122.30893628,47.60709807,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12604319004,ALASKA JUNCTION,-122.381493999,47.5565447,PROPERTY,LARCENY-THEFT,All Other Larceny
12604232453,SODO,-122.329988664,47.57876794,PROPERTY,LARCENY-THEFT,Theft From Building
12604223543,DOWNTOWN COMMERCIAL,-122.33049384200001,47.60512615,PROPERTY,ROBBERY,Robbery
12604179190,FREMONT,-122.34563939,47.65912603,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories
12604173337,DOWNTOWN COMMERCIAL,-122.33612872100001,47.61044597,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery
12604095457,ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.378095285,47.51654951,PROPERTY,LARCENY-THEFT,All Other Larceny
12604100395,NORTH ADMIRAL,-122.383821146,47.58323011,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604082101,DOWNTOWN COMMERCIAL,-122.334607817,47.60291195,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12604185842,SLU/CASCADE,-122.343650126,47.6185566,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft
12603996255,CHINATOWN/INTERNATIONAL DISTRICT,-122.320159539,47.60169935,PROPERTY,LARCENY-THEFT,All Other Larceny
12603989151,FREMONT,-122.34562812,47.66007201,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12603706656,SANDPOINT,-122.26222809299999,47.67889074,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence
12603706291,BALLARD SOUTH,-122.37218016,47.66365981,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories
12603681821,SLU/CASCADE,0.0,0.0,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12603688357,SLU/CASCADE,0.0,0.0,PERSON,SEX OFFENSES,Sodomy
12603653571,CAPITOL HILL,-122.316238574,47.61760538,PROPERTY,ROBBERY,Robbery
12603625989,HILLMAN CITY,-122.287586514,47.55049818,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12603551807,DOWNTOWN COMMERCIAL,-122.33511980200001,47.61018167,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12603505805,FIRST HILL,-122.319411925,47.60478099,PROPERTY,EXTORTION/BLACKMAIL,Extortion/Blackmail
12603489906,NORTHGATE,-122.34499682799999,47.72503555,PROPERTY,LARCENY-THEFT,Shoplifting
12603492046,NORTHGATE,-122.34499682799999,47.72503555,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses
12603435446,MAGNOLIA,-122.38755847600001,47.65137209,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property
12603405539,NORTHGATE,-122.32461515799999,47.7086028,PROPERTY,LARCENY-THEFT,Shoplifting
12603393850,CHINATOWN/INTERNATIONAL DISTRICT,-122.324731506,47.59835127,PROPERTY,LARCENY-THEFT,Theft From Building
12603378761,CHINATOWN/INTERNATIONAL DISTRICT,-122.322052376,47.59750785,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12603358305,ROOSEVELT/RAVENNA,-122.324611421,47.68015558,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game
12603425679,NORTHGATE,-122.316877599,47.70400593,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle
12603342697,HIGH POINT,-122.372273693,47.55286188,PROPERTY,LARCENY-THEFT,All Other Larceny
