UV_NAME,TOTAL_POPULATION,HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,VACANT_HOUSING_UNITS,RENTER_OCCUPIED,RENTAL_VACANCY_RATE
West Seattle Junction,3788,2544,2324,220,1572,5.7
Eastlake,5084,3543,3118,425,2240,8.8
Commercial Core,5917,3651,2985,666,2323,5.5
Chinatown-International District,3466,2393,2227,166,2123,4.7
Belltown,11961,9984,8421,1563,6439,7.5
Madison-Miller,4066,2414,2266,148,1651,4.4
South Park,3448,1282,1144,138,571,6.8
Wallingford,5350,2940,2780,160,1845,3.8
Crown Hill,2459,1193,1141,52,514,5.5
North Rainier,4908,2201,2051,150,1334,5.7
First Hill,8681,6592,5588,1004,4857,11.4
South Lake Union,3774,2781,2459,322,2152,9.3
12th Avenue,4519,1972,1758,214,1555,5.8
Ravenna,3323,1617,1481,136,1422,7.6
Aurora-Licton Springs,6179,3267,3018,249,1894,5.3
23rd and Union-Jackson,9468,5058,4422,636,2721,11.7
Othello,7267,2435,2308,127,1593,4.5
Admiral,1528,1054,962,92,703,7.0
Green Lake,2904,2008,1843,165,1482,7.1
Westwood-Highland Park,4606,2123,1944,179,1148,7.9
Greater Duwamish,1064,415,338,77,277,11.8
Greenwood-Phinney Ridge,2927,1729,1634,95,1018,4.6
Lake City,3899,2419,2178,241,1789,8.7
Capitol Hill,18279,13474,12461,1013,10044,5.3
Roosevelt,2384,1198,1126,72,655,5.3
Bitter Lake Village,4273,3074,2541,533,1970,15.0
Ballard,10078,6963,6177,786,4390,11.6
Columbia City,3937,1885,1743,142,1191,5.5
Northgate,6369,4238,3674,564,3039,11.7
Pike/Pine,4413,3442,3076,366,2373,7.3
Fremont,3960,2558,2369,189,1686,4.7
North Beacon Hill,2900,1380,1279,101,936,6.2
Upper Queen Anne,2143,1570,1438,132,1087,3.5
Uptown,7300,5799,5106,693,3972,6.7
Rainier Beach,3583,1486,1331,155,996,7.4
Morgan Junction,2046,1267,1168,99,715,5.8
University District Northwest,13654,6426,5886,540,5526,6.0
Denny Triangle,3248,2971,2073,898,1669,19.8
University Campus,5727,226,205,21,194,0.5
Pioneer Square,2252,1023,937,86,792,6.9
Ballard-Interbay-Northend,1658,667,611,56,431,6.5
